trial,params,seed,extra_args,job_id,script_path
0,"{""mae_tx_encoder_embed_dim"": ""64"", ""mae_tx_patch_len"": ""4""}",42,[],58375,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_0.sh
1,"{""mae_tx_encoder_embed_dim"": ""128"", ""mae_tx_patch_len"": ""4""}",42,[],58376,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_1.sh
2,"{""mae_tx_encoder_embed_dim"": ""256"", ""mae_tx_patch_len"": ""4""}",42,[],58377,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_2.sh
3,"{""mae_tx_encoder_embed_dim"": ""64"", ""mae_tx_patch_len"": ""6""}",42,[],58378,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_3.sh
4,"{""mae_tx_encoder_embed_dim"": ""128"", ""mae_tx_patch_len"": ""6""}",42,[],58379,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_4.sh
5,"{""mae_tx_encoder_embed_dim"": ""256"", ""mae_tx_patch_len"": ""6""}",42,[],58380,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_5.sh
6,"{""mae_tx_encoder_embed_dim"": ""64"", ""mae_tx_patch_len"": ""8""}",42,[],58381,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_6.sh
7,"{""mae_tx_encoder_embed_dim"": ""128"", ""mae_tx_patch_len"": ""8""}",42,[],58382,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_7.sh
8,"{""mae_tx_encoder_embed_dim"": ""256"", ""mae_tx_patch_len"": ""8""}",42,[],58383,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_8.sh
9,"{""mae_tx_encoder_layers"": ""2""}",42,[],58384,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_9.sh
10,"{""mae_tx_encoder_layers"": ""4""}",42,[],58385,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_10.sh
11,"{""mae_tx_encoder_heads"": ""2""}",42,[],58386,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_11.sh
12,"{""mae_tx_decoder_layers"": ""1""}",42,[],58387,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_12.sh
14,"{""mae_tx_decoder_heads"": ""2""}",42,[],58389,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_14.sh
16,"{""mae_tx_decoder_embed_dim"": ""128""}",42,[],58391,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_16.sh
0,"{""mae_tx_decoder_layers"": ""3""}",42,[],58835,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_0.sh
1,"{""mae_tx_decoder_embed_dim"": ""32""}",42,[],58836,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_1.sh
0,"{""mae_tx_decoder_embed_dim"": ""64""}",42,[],58837,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_0.sh
1,"{""mae_tx_decoder_embed_dim"": ""64""}",123,[],58838,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_1.sh
2,"{""mae_tx_decoder_embed_dim"": ""64""}",7,[],58839,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_2.sh
4,"{""mae_tx_decoder_embed_dim"": ""128""}",123,[],58840,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_4.sh
5,"{""mae_tx_decoder_embed_dim"": ""128""}",7,[],58841,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_model_trial_5.sh
