method,implemented,why,what_was_found
Task arithmetic (plain sum at alpha),full,The project's baseline throughout; merge is bitwise reproducible from checkpoints (412/412).,alpha* ~ 1/n in the deployment parameterisation; merging within 1.0-1.1x of specialists on SWaT/PSM/ETTh1 but 1.5-2.1x on ETTh2/exchange_rate (C01).
OPCM - residual against flattened predecessors,partial,"Implemented and run everywhere, but this is a SIMPLIFICATION of the published operator, labelled as such in every section that uses it (C26).","Cost does not scale with rho (C20, refuted). Helps on exchange_rate at n<=3; the recency-filter mechanism was tested by §1.36's P3 and came back INCONCLUSIVE, so C23 stays a hypothesis and only the measurement (C32) stands."
"OPCM - paper operator (Tang et al., NeurIPS 2025, Algorithm 1)",full,"Implemented from the paper once it was supplied: full SVD of the accumulated merged task matrix, two-sided projection out of the top-alpha singular subspace, i==j dropped, norm-stabilising lambda, 1-D tensors passed through. Eq. 8 and Thm 5.2 are asserted as unit checks rather than assumed (`verify_merge_rules.py`).","Takes no merge scale - it fixes its own magnitude at the mean task-vector norm (C33). On ETTh1 that lands at alpha*n = 1.60 against the 1.00 validation selected, and the merge is decisively worse than plain summation at every threshold, worsening monotonically as the threshold rises (§1.36 P1). §1.37 isolated the cause: with its norm rule replaced by the committed strength the loss is unchanged on the cells where magnitude needed no correction, so the PROJECTION is what fails on this backbone, not the norm rule (C34 refuted)."
BECAME - Fisher-weighted convex fold,full,Implemented with diagonal Fishers per shard and lambda* solved per step.,"Its total strength is pinned at alpha.n = 1.0 by the convex fold, verified per run (C21). lambda* instability is not Fisher sampling noise (C24, refuted)."
BECAME's weighting at a chosen strength (rescaled),full,"Added in §1.36 to separate weighting from magnitude. NOT BECAME, and never labelled as it.","Confirmed by §1.36's P2, which closed C22: at matched alpha*n the Fisher weighting is inert - 5 of 7 ties, and neither exception favours it (PSM n=5 +1.36% against a 0.07% floor). Magnitude was the whole story."
QOMM,partial,Only the attention-exclusive fine-tuning half is testable with this backbone; the quadratic-form outer-product machinery is not implemented.,"The testable half does not clear the floor (C25, refuted)."
AEFT (attention-exclusive fine-tuning),full,"Run on PSM-forecast n=3, three seeds, with its own geometry report (`geometry_aeft/`). NOT ETTh1/exchange_rate - that pairing was a bookkeeping error corrected 2026-09-19.",No effect above the floor (C25).
Fisher-weighted averaging (non-sequential),not run,"Subsumed by BECAME, which is the sequential Fisher method and was the one asked for.",-
Sequential / continual fine-tuning with L2-SP,full,Opt-in in StandardTrainer; the early-stopping confound was found and fixed 2026-08-06.,"The recorded rejection of L2-SP is WITHDRAWN, not confirmed - cross-lambda comparison was confounded and must be re-tested before any claim is made (§3.1)."
Window retraining (W periods of retained history),full,"W = 1/2/3 on four forecasting datasets, plus honest validation-based budget selection.","Merging is worth 2-4 periods of history, dataset-dependent (C04)."
Routing / regime indicator,partial,"A per-window ORACLE router only; no buildable router exists, and it cannot be computed on AD from these runs at all (C17).",Routing's advantage is real in the weakest possible sense - as an upper bound (C16).
